EarthquakeDepth,M,Rrup,Rjb,lnPGA,lnPGV,lnVs30,Residual
0.7,3.8,103.12,103.18,-9.284901086602313,-4.920719940232014,6.008813185442595,-0.907947390683708
-0.87,4.3,102.84,102.38,-8.409455373781334,-4.950522558565371,6.184148890937483,-0.946028754295051
19.3,4.1,49.29,45.71,-8.06327461073353,-4.0078673328639205,5.973809611869261,-2.69564886743546
10.83,3.8,323.08,323.04,-10.79268080972263,-6.504917886964535,6.565264970035361,0.323998430786119
15.21,4.0,186.09,185.64,-8.85728574347816,-5.183249587199234,6.436150368369428,-0.160629346527887
4.7,3.5,275.77,275.84,-10.612066066035926,-6.4308835392956265,5.953243334287785,0.658438458731343
22.14,4.9,191.73,190.8,-7.9814863582112325,-3.7092286619580523,6.5638555265321274,-1.3481112199758
9.74,3.7,170.15,169.99,-11.06087077091997,-7.371625531894072,6.091309882077698,-1.8077904285081
2.4,4.0,257.71,257.83,-11.523087029231602,-7.1819266993859925,6.606650186198215,-1.11217244943333
10.48,3.6,166.95,166.72,-7.036362040389997,-3.7263148562836923,5.5254529391317835,2.07837616425274
1.57,3.6,183.13,183.22,-8.599089273861564,-4.405453472694991,6.4425401664681985,1.67071008149791
9.24,4.4,147.48,147.39,-5.930109801308708,-1.5842232410182036,5.429345628954441,1.1874963481453
7.01,5.7,253.54,253.81,-8.206083745476002,-3.2136420698890906,6.320768294250582,-1.44937689033198
12.79,3.6,240.82,240.59,-10.545861736039708,-6.731084742502613,6.483107351457199,-0.110600589586797
1.54,3.6,240.43,240.52,-8.776902573205597,-5.239871625003408,6.315358001522335,2.19340005269578
6.12,4.0,285.16,285.25,-10.287507530054304,-5.773079981825605,6.452048954437226,0.172453741750417
3.07,4.6,213.93,214.12,-8.278848327735506,-3.927363369446253,6.520621127558696,0.210541446554252
4.98,3.5,312.47,312.54,-9.603909054004486,-5.6605803516902355,5.981414211254481,2.08750333062862
6.02,4.5,204.94,205.09,-10.078519765268965,-5.893504572023203,6.436150368369428,-1.69498595816187
12.29,3.7,147.09,146.68,-7.5619381254049385,-4.132189617227092,6.054439346269371,1.18242466529004
8.13,3.8,177.42,177.36,-10.698750961593788,-6.816186635457698,6.45833828334479,-1.29452522736061
22.14,4.9,319.61,319.22,-9.105026667413979,-4.557444969626715,6.1779441140506,-1.08277925657024
12.83,4.1,33.18,30.84,-6.755256705989269,-2.520466264946708,6.251903883165888,-1.52066456276843
-1.67,4.5,248.92,247.93,-9.055119493587176,-4.617349604913109,6.52649485957079,0.357585437951153
4.0,3.6,161.82,161.88,-7.305100383730351,-3.146379411292001,5.683579767338681,2.16369939272356
3.2,4.0,134.85,134.96,-8.18223048642196,-4.177462292936595,6.091309882077698,0.234625061567435
1.4,3.6,240.1,240.19,-10.972545038970694,-7.088363915661755,6.16541785423142,-0.069133882946133
4.69,4.0,91.03,91.04,-7.695460708117564,-4.320586608919027,5.389071729816501,-0.504822338711975
4.95,4.2,122.17,122.25,-6.836201143666858,-2.548245225548073,6.532334292222349,1.04405224826844
1.6,3.6,71.31,71.38,-8.060598055581131,-4.7351421266987535,5.91350300563827,-0.0449250132624748
4.75,3.6,174.62,174.66,-11.126601518974581,-6.694843090006744,5.981414211254481,-1.37016952086302
4.75,3.6,114.65,114.65,-10.065364170712934,-6.285235894956757,6.1903154058531475,-1.17734827008066
3.96,3.5,242.76,242.84,-11.732760607608817,-7.848355916688238,6.285998094508865,-0.664910862482239
30.44,3.8,213.52,211.48,-8.315902238353608,-4.777754733690248,6.093569770045136,0.759429382990149
7.02,3.5,327.9,327.93,-12.360474350194863,-8.290134235313275,6.19644412779452,-0.507829893704979
13.14,3.6,32.15,29.49,-4.2886091539859335,-0.6653977812913854,6.319958614030018,1.98930303343955
3.14,3.5,170.9,170.97,-11.123779865265924,-7.207956523603146,6.401917196727186,-0.919931184929743
2.43,3.5,196.34,196.43,-11.156622940370971,-7.10969976425907,5.683579767338681,-0.89174586015614
1.26,4.4,113.25,113.35,-8.589343381276993,-4.104725376920144,6.059123195581797,-1.3195694039736
6.89,3.7,279.25,279.29,-10.424026834831057,-6.78037348141642,6.371611847231857,0.532834265774563
8.09,4.0,55.16,54.69,-6.177382836396377,-2.21939690675996,6.115892125483034,0.272478029458446
2.41,3.6,204.88,204.98,-10.139204873411533,-6.1309698164264885,5.8888779583328805,0.123456299464845
9.9,3.9,161.97,161.79,-12.213982889177094,-8.437809670189125,6.565264970035361,-3.29932144469042
12.19,4.7,193.04,192.96,-8.62705258966499,-4.390260923569644,6.566672429803241,-1.11398993301104
11.15,4.0,24.69,22.32,-3.5113034731070876,-0.8355272993697822,5.811140992976701,1.39060114730226
8.8,3.5,209.15,209.06,-9.869107768565076,-6.3931061939687845,5.945420608606575,0.341053055300938
2.31,4.0,183.91,184.03,-10.245977861482904,-6.38896148556697,6.082218910376446,-1.03681907709017
3.17,4.2,117.68,117.79,-6.542753826827384,-3.197916758662195,6.246106765481563,1.22103172122721
0.79,3.7,278.9,278.98,-10.910153859428076,-6.917119930778772,6.0014148779611505,0.204104832532986
5.76,3.6,239.96,240.01,-8.189975359289697,-5.035816126846696,6.4457198193855785,2.60362428741674
5.26,3.5,192.68,192.71,-11.556972727998398,-7.88017273060507,6.4457198193855785,-1.13983764732245
0.87,4.3,258.33,258.44,-8.383034089592362,-3.9426802737627233,5.953243334287785,1.16628051543756
5.78,5.2,149.27,149.39,-6.6199019461962445,-1.5731273431062491,5.8916442118257715,-0.633891942223194
24.62,3.8,209.22,207.87,-10.705575249315627,-7.008286231333745,6.620073206530356,-1.43964517203184
13.41,4.1,188.11,187.8,-8.155643642691837,-4.472151099569986,6.0867747269123065,0.288742307968336
0.08,3.5,94.61,94.64,-8.190095544990086,-4.384863133736427,5.429345628954441,0.424195139560418
3.21,3.6,67.84,67.86,-8.46083469186688,-5.601856120988339,6.501289670540389,-0.346000703676472
5.86,3.6,245.89,245.93,-9.751542646497326,-5.585071336486893,5.713732805509369,0.766271074101828
3.27,3.7,101.69,101.75,-8.990739327938066,-4.703332537369511,6.035481432524756,-0.55524879403459
4.13,3.8,294.26,294.37,-16.903357813408572,-12.15177180733993,6.675823221634848,-5.69249976391925
-1.26,3.8,62.47,61.44,-7.93884321791373,-4.381839532178645,6.102558594613569,-0.339702030246308
17.01,3.7,30.26,25.48,-9.919015469041147,-6.061508113238423,6.495265555937008,-4.0777553903249
6.51,4.5,178.38,178.5,-7.047391289787009,-3.116466020781092,6.556778356158042,0.998232215795803
3.56,4.5,187.33,187.49,-10.009846210616848,-6.3112261631352355,6.508769136971682,-1.6978762407825
4.84,4.3,136.44,136.55,-8.504945007601004,-4.632719702896082,6.0867747269123065,-0.800118050491217
7.72,3.6,58.93,58.51,-10.401809309818038,-6.969201870398043,6.263398262591624,-2.88984184587807
7.64,3.7,40.11,39.48,-8.180299079511203,-4.45789480121506,6.597145701886651,-1.34694720975557
-1.29,4.0,279.0,278.24,-11.647976194059227,-7.435857453264463,6.436150368369428,-0.860051277322098
1.93,3.5,49.06,49.1,-11.33897215784679,-7.857085864934493,6.184148890937483,-3.63438984855586
2.89,3.9,252.97,253.1,-10.342203885897014,-5.892631017958826,6.53813982376767,0.167243678836382
10.4,4.7,128.32,128.16,-8.89000136456287,-5.186245488549718,6.192362489474872,-2.43891978595025
5.8,3.7,124.16,124.13,-9.999844940471535,-6.613926784541963,5.717027701406222,-1.43756307687749
2.81,4.6,50.16,50.15,-8.366495609532354,-3.8945914712665877,5.961005339623274,-3.14415219492241
8.2,3.6,229.07,229.04,-10.892348977245119,-7.194104906200139,6.436150368369428,-0.374896205652819
25.76,4.0,304.36,303.41,-11.905100237148439,-8.164232531899492,6.040254711277414,-2.18098651171121
-1.06,3.8,172.59,171.93,-10.462214510597882,-6.4655977151743595,6.126869184114185,-0.778175960763972
6.01,3.6,307.38,307.44,-11.84410164051328,-8.412602572052519,6.495265555937008,-0.240769064002761
3.18,3.9,18.48,18.25,-11.819450625223489,-7.992464662481256,6.495265555937008,-6.3589130635288
9.57,3.7,315.8,315.77,-13.24445864111597,-8.515224430698073,6.220590170099739,-2.08645222155985
6.77,3.6,220.31,220.31,-10.870258856514498,-6.8712840151799615,6.16541785423142,-0.514032986021526
3.88,3.5,180.97,181.03,-12.175198553322035,-7.879467947950927,6.565264970035361,-1.78999470273472
6.98,4.4,117.29,117.28,-7.214888042267001,-3.5604935568745093,6.523562306149512,0.0319582757034347
2.2,4.3,77.98,78.06,-7.36129343519893,-3.1503965319067926,6.551080335043404,-0.424983178509109
8.96,3.9,61.1,60.57,-7.720834718124347,-4.106059555576675,6.091309882077698,-0.942328559955987
5.0,4.2,264.27,264.42,-9.699472803749007,-5.13381566105042,6.436150368369428,0.136692355502003
4.86,3.5,192.93,192.97,-7.95798411474806,-4.308006283501623,6.102558594613569,2.32332308444663
5.03,3.5,202.03,202.07,-11.618285980628055,-7.612975040776352,6.424869023905388,-1.07074333237408
3.9,4.8,47.09,46.95,-5.730175814663911,-1.9509696668565835,6.548219102762372,-0.825689711732514
8.08,3.5,102.04,101.82,-8.471724489581723,-5.003613628788641,6.023447592961033,0.131257348195925
2.25,4.1,11.7,11.44,-8.600843314662898,-4.053556731485421,5.991464547107982,-4.3740962609728
10.9,4.1,59.99,59.16,-10.28420495688854,-6.205013573434681,6.393590753950631,-3.93253287512082
8.11,3.7,279.69,279.7,-12.634670166723184,-8.981766949132586,6.484635235635252,-1.68662006133389
-1.06,3.7,151.08,150.4,-11.112471960662598,-6.716939153412927,6.5638555265321274,-1.33173841457597
4.24,4.0,97.78,97.82,-9.482149095271673,-5.456141451741604,5.932245187448011,-1.87259745232966
4.13,3.7,261.27,261.36,-11.41584022515386,-6.922974231982305,6.148468295917647,-0.626113047688877
9.99,4.5,192.71,192.69,-7.118398004721776,-3.4414577839048777,6.161207321695077,0.751389464198721
5.46,4.4,15.3,14.38,-3.672885757868939,-0.3158081824205342,6.536691597591305,0.355310296366346
20.61,4.2,73.9,71.23,-8.551703894103971,-4.7039078589419425,6.597145701886651,-2.45512817877719
5.87,3.9,101.4,101.36,-11.364680475166242,-7.102774673171005,5.958424693029782,-3.54484631937576
4.32,4.1,282.32,282.47,-11.222362770496826,-6.51643737228086,6.495265555937008,-0.891666048559866
10.8,4.2,148.9,148.68,-9.051809499215803,-5.3157722403754395,6.565264970035361,-1.03388157085242
5.74,4.1,92.65,92.62,-8.144535371839144,-4.5692869591283385,6.054439346269371,-0.880826088659228
8.32,5.3,122.02,121.95,-5.410251888153049,-0.5000182510372284,6.035481432524756,-0.0688294081374083
9.02,3.6,272.2,272.16,-12.471324539188696,-8.431018935548076,5.717027701406222,-1.80710875026055
7.99,3.7,251.8,251.8,-12.950479984184577,-8.60797384503029,6.508769136971682,-2.31883378888095
3.21,3.6,50.39,50.37,-8.254223802381246,-4.329776710003024,5.683579767338681,-1.0267119299673
5.41,3.5,319.53,319.59,-12.677171402209119,-8.549528590838516,6.556778356158042,-0.659756526821335
0.7,3.7,280.61,280.68,-11.84256246513545,-7.733043527687185,6.484635235635252,-0.476163713407921
2.37,3.6,214.74,214.84,-11.579465924650219,-7.630138374317395,6.401917196727186,-0.94274888659633
3.23,4.5,129.18,129.31,-8.672430461368785,-4.5760673129091725,6.495265555937008,-1.2396652626944
2.43,3.5,169.75,169.83,-7.2050702794646915,-3.9611400380132387,6.1779441140506,2.91570543667593
12.31,5.2,174.43,174.36,-6.154266434281563,-2.018430058233424,6.401917196727186,0.08171234020294
4.91,3.8,90.06,90.05,-7.841142348958786,-3.855128154095522,5.978885764901122,0.024104900239192
-0.27,3.8,195.65,195.56,-11.371604911773254,-7.497803022196294,6.208590026096629,-1.36716279671559
10.5,6.4,229.17,229.0,-4.8643131863023745,-0.4528141544369154,6.111467339502679,0.291592593178508
11.77,3.6,236.8,236.61,-11.051177318644175,-7.2372853026233335,5.863631175598097,-0.901292586828825
6.22,3.9,26.34,25.72,-7.539670455160965,-3.9148220190144287,6.089044875446846,-1.92990389041845
16.47,3.7,58.11,55.89,-7.807826117422698,-4.314625065971212,6.1463292576688975,-1.07102733950768
4.75,3.6,76.53,76.47,-7.587796420109746,-4.039939448570202,5.998936561946683,0.422129399669406
-1.43,4.0,336.22,335.36,-11.791133227439559,-7.151555288502416,6.5638555265321274,-0.286349573845067
5.09,3.6,287.95,288.02,-11.864089820131394,-8.03298261668799,5.583496308781699,-0.861579088950752
10.24,3.5,23.32,21.14,-11.348947036060066,-7.869207145426505,6.495265555937008,-5.08519114236312
2.37,3.6,156.41,156.5,-9.763787072919332,-6.130810985816746,6.495265555937008,0.0939191694493999
2.37,3.6,288.06,288.16,-6.909476008588537,-3.41898365376946,6.089044875446846,4.48150896694162
25.19,4.7,260.69,259.79,-8.536589234379031,-5.089018037772678,6.037870919922137,-0.832531670721999
3.7,3.6,263.53,263.62,-11.64760036829683,-7.6842840684811335,6.246106765481563,-0.545704891516673
2.42,3.8,277.45,277.57,-10.745233818248218,-6.525589913957614,6.53813982376767,0.299153220206062
5.25,3.9,209.57,209.65,-11.105725129906201,-7.096942043479487,6.331501849893691,-1.37493176363472
9.05,4.1,70.38,69.94,-7.9742644902603494,-4.611448694638737,6.12029741895095,-1.37123913796645
11.95,3.7,92.11,91.45,-7.250132495732527,-3.2210012569996636,4.174387269895637,-0.356580189999722
6.4,4.3,89.02,88.96,-8.19236830834845,-3.8477360159220035,6.597145701886651,-1.21769693277378
8.2,3.6,238.63,238.6,-10.494078144770981,-6.660895201050611,6.532334292222349,0.189388133748373
4.97,3.9,204.47,204.56,-8.658206216068564,-4.429117487491036,6.135564891081739,0.927870449867733
5.83,4.2,92.72,92.71,-7.014717721484353,-3.943398250904274,6.565264970035361,0.27001564322592
4.53,3.8,111.4,111.43,-9.674692910753961,-5.63805153348406,6.559615237493242,-1.09181213963929
3.33,3.8,121.59,121.66,-9.966521925471998,-6.528539078864036,6.054439346269371,-1.37037973104892
7.66,3.6,37.15,36.45,-6.595259186675999,-3.4453279058355686,5.429345628954441,-0.213286450359787
5.39,3.9,145.63,145.67,-10.13096894870996,-5.436963623531665,6.424869023905388,-1.2870661646117
10.6,4.0,250.99,250.93,-8.56225609296719,-4.423604915106246,5.683579767338681,0.881902796084185
4.36,3.6,278.03,278.11,-10.28714862573644,-6.497754738182224,6.5638555265321274,1.10027549061101
1.89,4.4,66.78,66.85,-5.9067730923915835,-1.9416137119735768,5.855071922202427,0.227887233946144
1.49,4.2,40.51,40.54,-10.66605413839278,-6.238059546575908,6.238324625039508,-4.72342669412099
10.21,3.6,107.64,107.24,-8.766181933346257,-4.993422355386111,6.1070228877422545,-0.34824910701118
8.09,4.0,289.83,289.87,-9.4003243180389,-4.938242909507391,6.240275845170769,0.906033218508133
9.27,4.1,178.37,178.3,-9.824250824961924,-6.008545397800906,6.401917196727186,-1.14181898496497
7.59,3.7,259.24,259.26,-10.25846399688516,-5.868498026728513,6.1903154058531475,0.336099903911572
8.45,5.2,51.39,50.65,-6.090433576345745,-1.5815670387972365,6.319958614030018,-2.04659027506965
